物件ID,種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩,最小最大,追加年月日,削除年月日
000491336a03,土地,岐阜県羽島市正木町須賀赤松,2998.0,岐阜県羽島市正木町須賀赤松,名鉄竹鼻・羽島線/須賀駅 徒歩10分,,1652.0,,6.0,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_62104fe782f13427b674e4dad72697bb/,2026-01-11,,名鉄竹鼻・羽島線,須賀,10.0,,2026-01-11,2026/01/14
00056c76da98,建物,愛知県一宮市篭屋,2190.0,愛知県一宮市篭屋,名鉄尾西線/開明駅 徒歩29分,4LDK,103.72,97.2,69.8,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_266c476ae183308ab7be1bd65d78fb20/,2026-01-17,0.0,名鉄尾西線,開明,29.0,,2026-01-11,
00093814c12a,建物,岐阜県各務原市鵜沼羽場町,2190.0,岐阜県各務原市鵜沼羽場町,名鉄各務原線/羽場駅 徒歩5分,2LDK,163.24,102.68,44.35,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_5d34935d0e27321f8b450ecbd5c1ebcd/,2026-01-17,8.42,名鉄各務原線,羽場,5.0,,2026-01-11,
001c40f15de3,建物,岐阜県岐阜市御望,1200.0,岐阜県岐阜市御望,東海道本線/岐阜駅 徒歩9分 バス30分,5DK,360.75,143.99,11.0,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_a5160849908134d898e859899745cfeb/,2026-01-17,0.0,東海道本線,岐阜,9.0,,2026-01-11,
0029f652fb88,土地,岐阜県瑞穂市中宮,1490.0,岐阜県瑞穂市中宮,樽見鉄道/横屋駅 徒歩14分,,492.89,,9.99,https://myhome.nifty.com/tochi/gifu/mizuhoshi_ct/detail_9f2dc9e7764636baa182a0c9a664aba9/,2026-01-17,,樽見鉄道,横屋,14.0,,2026-01-11,
002ebb78bd3a,建物,愛知県一宮市大毛,2780.0,愛知県一宮市大毛,JR東海道本線/木曽川駅 徒歩40分,2LDK,340.48,89.84,26.99,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_7eb9e4b671bf38c490e2dd9ebc7aa53c/,2026-01-17,5.83,JR東海道本線,木曽川,40.0,,2026-01-11,
0034a387c585,土地,東鶉２（柳津駅） 1255万円,1255.0,岐阜県岐阜市東鶉２-130番地より分筆,名鉄竹鼻線「柳津」徒歩32分,,197.2,,21.1,https://suumo.jp/tochi/gifu/sc_gifu/nc_72686410/,2026-01-17,,名鉄竹鼻線,柳津,32.0,,2026-01-11,
003a46094f13,建物,岐阜県岐阜市則武,6480.0,岐阜県岐阜市則武,,4LDK,272.33,135.4,78.66,https://myhome.nifty.com/shinchiku-ikkodate/gifu/gifushi_ct/detail_cc51345337323c649cd24f0fad212646/,2026-01-17,0.0,,,,,2026-01-11,
003a8c5932ae,土地,愛知県一宮市瀬部字夏目塚,424.0,愛知県一宮市瀬部字夏目塚,名鉄犬山線/江南駅 徒歩10分 バス14分,,255.1,,5.49,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_a6aea651aff13286a49228d331583d6f/,2026-01-11,,名鉄犬山線,江南,10.0,,2026-01-11,2026/01/14
00498f6528d1,建物,愛知県一宮市多加木５丁目,2190.0,愛知県一宮市多加木５丁目,名鉄名古屋本線/島氏永駅 徒歩30分,1SLDK,111.08,96.39,65.18,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_caa3faf565153aedaf01928eccf35bf6/,2026-01-17,0.0,名鉄名古屋本線,島氏永,30.0,,2026-01-11,
004b126af178,建物,１／１６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2580.0,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス17分停歩5分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78580589/,2026-01-17,0.0,JR東海道本線,岐阜,,最大,2026-01-11,
005381028217,土地,岐阜県岐阜市福光西１丁目,1325.0,岐阜県岐阜市福光西１丁目,,,182.5,,24.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_7e295b2302e63536915c533f6d753f23/,2026-01-17,,,,,,2026-01-11,
005555b5a666,建物,岐阜県岐阜市鷺山,380.0,岐阜県岐阜市鷺山,,3DK,191.73,81.41,6.55,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_1a399bba09f539deaddeb1eabc100a5b/,2026-01-17,64.75,,,,,2026-01-11,
0055e127d6d1,建物,愛知県一宮市北方町北方,2680.0,愛知県一宮市北方町北方,名鉄名古屋本線/木曽川堤駅 徒歩10分,3LDK,184.57,100.61,48.0,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_37efa66fa800350da333dbd79d8d4172/,2026-01-17,0.0,名鉄名古屋本線,木曽川堤,10.0,,2026-01-11,
