エリア,物件名,価格,所在地,沿線・駅,土地面積,建物面積,間取り,築年月,URL,情報取得日
愛知県一宮市,愛知県一宮市木曽川町黒田字寺東,"3,880万円",愛知県一宮市木曽川町黒田字寺東,名鉄名古屋本線/新木曽川駅 徒歩8分,128.15m2,107.58m2,4SLDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_064e6713077d30b6a78df9dc1d26c9cd/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町加茂字五坊野裏,739万円,愛知県一宮市千秋町加茂字五坊野裏,名鉄犬山線/布袋駅 徒歩23分,611.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0663ad3c62d633a89d84c8570a74ecc1/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町朝宮字下平,610万円,愛知県一宮市萩原町朝宮字下平,名鉄尾西線/二子駅 徒歩19分,217.55m2,124.08m2,5LDK,43年3ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_0672ffa97a2c39d6b73483e24a99856b/,2026-02-01
愛知県一宮市,愛知県一宮市今伊勢町馬寄,3130万円,愛知県一宮市今伊勢町馬寄,名鉄名古屋本線/石刀駅 徒歩11分,104.7m2,95.79m2,3LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_06cdae579ad638108a5683bb30eb8239/,2026-02-01
愛知県一宮市,愛知県一宮市田島町,2400万円,愛知県一宮市田島町,ＪＲ東海道本線/尾張一宮駅 徒歩39分,146.77m2,110.96m2,4LKK,12年7ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_06dd0a525d6a34c7bcbb5b896aa7c9c4/,2026-02-01
愛知県一宮市,愛知県一宮市森本,1430万円,愛知県一宮市森本,名鉄名古屋本線/妙興寺駅 徒歩20分,118.77m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0715a9df35f63830817e29c7392e72e8/,2026-02-01
愛知県一宮市,愛知県一宮市小信中島字郷東,"3,330万円",愛知県一宮市小信中島字郷東,名鉄尾西線/奥町駅 徒歩5分 バス4分,176.28m2,121.05m2,4SLDK,1ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_072cfd0df01e37418975bb8333838eef/,2026-02-01
愛知県一宮市,愛知県一宮市大和町馬引,2650万円,愛知県一宮市大和町馬引,名鉄名古屋本線/名鉄一宮駅 徒歩3分 バス7分,133.1m2,130.83m2,5LDK,15年11ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_0730d89e7caf3e658e26de44958bff59/,2026-02-01
愛知県一宮市,愛知県一宮市丹陽町外崎,3199万円〜3499万円,愛知県一宮市丹陽町外崎,名鉄名古屋本線/妙興寺駅 徒歩37分,154.44m2,113.03m2,4LDK+S（納戸）〜5LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_07518c67a4193b05828db377b83a9ad6/,2026-02-01
愛知県一宮市,愛知県一宮市北方町北方字畑下郷,480万円,愛知県一宮市北方町北方字畑下郷,名鉄名古屋本線/木曽川堤駅 徒歩4分,132.45m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0768ee8bd28c317da5db2c19416abe6c/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町大日比野,2790万円,愛知県一宮市浅井町大日比野,名鉄名古屋本線/石刀駅 徒歩62分,175.5m2,96.9m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_0783d08c7c723e89a33be4fa91de76d5/,2026-02-01
