種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積,建物面積,築年月,坪単価,URL,情報取得日
新築,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市島田　全３邸,"2,380万円～2,580万円",岐阜県岐阜市島田,JR東海道本線「岐阜」駅 バス17分「大縄場大橋西」バス停 徒歩5分,5LDK以上,150.82m2～185.56m2,105.99m2～106.00m2,築0年,,https://sumaity.com/house_new/prop_10034317/,2026-02-01
新築,E's garden 岐阜市柳津町上佐波,"3,450万円～3,780万円",岐阜県岐阜市柳津町上佐波二丁目95-1他,名鉄竹鼻線「柳津」駅 徒歩28分 自転車約9分,5LDK以上,219.12m2～309.28m2,135.54m2～138.72m2,築0年,,https://sumaity.com/house_new/prop_10058911/,2026-02-01
新築,【新生活応援プレゼント対象物件】Cradle garden　岐阜市河渡　第１期　全４邸,"1,890万円～2,090万円",岐阜県岐阜市河渡,JR東海道本線「穂積」駅 徒歩21分,4LDK,204.44m2～211.55m2,98.82m2,築0年,,https://sumaity.com/house_new/prop_10160225/,2026-02-01
新築,【橋本不動産】西岐阜駅 徒歩15分～利便性と自然がバランスよく共存する街【鏡島分譲地】,"3,100万円～4,350万円",岐阜県岐阜市鏡島１６７８,JR東海道本線「西岐阜」駅 徒歩15分,4LDK,150.10m2～193.94m2,100.61m2～121.48m2,築0年,,https://sumaity.com/house_new/prop_9748338/,2026-02-01
新築,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市敷島町　第２期　全２邸,"3,280万円～3,480万円",岐阜県岐阜市敷島町,JR東海道本線「西岐阜」駅 徒歩14分,4LDK,184.52m2～216.27m2,96.06m2～111.79m2,築0年,,https://sumaity.com/house_new/prop_10021807/,2026-02-01
新築,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市野一色　全３邸,"2,580万円",岐阜県岐阜市野一色,JR高山本線「長森」駅 車で約3km,4LDK ～ 5LDK以上,161.07m2～298.34m2,96.06m2～106.60m2,築0年,,https://sumaity.com/house_new/prop_10056515/,2026-02-01
新築,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市西鶉　全５邸,"2,980万円",岐阜県岐阜市西鶉,JR東海道本線「西岐阜」駅 徒歩49分 車で3.9km,4LDK ～ 5LDK以上,175.21m2～175.22m2,111.27m2～122.13m2,築0年,,https://sumaity.com/house_new/prop_10079046/,2026-02-01
新築,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市手力町　第２期　全２邸,"2,980万円",岐阜県岐阜市手力町,名鉄各務原線「手力」駅 徒歩10分,4LDK,149.65m2～150.53m2,108.49m2～110.15m2,築0年,,https://sumaity.com/house_new/prop_10160222/,2026-02-01
新築,岐阜市六条江東II（A棟）,"3,130万円",岐阜県岐阜市六条江東2丁目14,JR東海道本線「西岐阜」駅 徒歩37分,4LDK,168.44m2,115.93m2,築0年,,https://sumaity.com/house_new/prop_10012960/,2026-02-01
新築,岐阜市六条江東II（B棟）,"3,110万円",岐阜県岐阜市六条江東2丁目14,JR東海道本線「西岐阜」駅 徒歩37分,4LDK,169.52m2,115.92m2,築0年,,https://sumaity.com/house_new/prop_9872375/,2026-02-01
新築,【新生活応援プレゼント対象物件】SMART DO HOME　岐阜市長良　全２邸,"1,998万円",岐阜県岐阜市長良,JR東海道本線「岐阜」駅 バス29分「真竜寺前」バス停徒歩4分 徒歩82分,4LDK,196.57m2,106.40m2,築0年,,https://sumaity.com/house_new/prop_9902163/,2026-02-01
新築,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市大洞桜台　限定１邸,"2,390万円",岐阜県岐阜市大洞桜台,長良川鉄道「関」駅 徒歩112分 車で8.9km,5LDK以上,202.28m2,111.79m2,築0年,,https://sumaity.com/house_new/prop_10079045/,2026-02-01
新築,SEKISUI HOUSE noie 岐阜江崎南,"3,980万円～4,730万円",岐阜県岐阜市江崎南,JR東海道本線「西岐阜」駅 徒歩21分～21分,3LDK,199.39m2～199.42m2,104.75m2～105.16m2,築0年,,https://sumaity.com/house_new/prop_10161820/,2026-02-01
新築,【TOSCO】岐阜市白菊町(4)高い天井の家／小中学校徒歩10分圏内,"3,080万円",岐阜県岐阜市白菊町4丁目64番,JR東海道本線「岐阜」駅 車で約15分（約4.4km）,4LDK,141.53m2,107.65m2,築0年,,https://sumaity.com/house_new/prop_9534888/,2026-02-01
新築,岐阜市池ノ上町　～リーブルガーデン～,"2,680万円",岐阜県岐阜市池ノ上町４,JR東海道本線「岐阜」駅 バス16分「島栄町」バス停 徒歩1分,4LDK,162.84m2,113.87m2,築0年,,https://sumaity.com/house_new/prop_10065405/,2026-02-01
