種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩
建物,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市島田　全３邸,2380.0,岐阜県岐阜市島田,JR東海道本線「岐阜」駅 バス17分「大縄場大橋西」バス停 徒歩5分,5LDK,150.82,105.99,,https://sumaity.com/house_new/prop_10034317/,2026-02-01,0.0,JR東海道本線,岐阜,
建物,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市島田　全３邸,2580.0,岐阜県岐阜市島田,JR東海道本線「岐阜」駅 バス17分「大縄場大橋西」バス停 徒歩5分,5LDK,185.56,106.0,,https://sumaity.com/house_new/prop_10034317/,2026-02-01,0.0,JR東海道本線,岐阜,
建物,E's garden 岐阜市柳津町上佐波,3450.0,岐阜県岐阜市柳津町上佐波二丁目95-1他,名鉄竹鼻線「柳津」駅 徒歩28分 自転車約9分,5LDK,219.12,135.54,,https://sumaity.com/house_new/prop_10058911/,2026-02-01,0.0,名鉄竹鼻線,柳津,28.0
建物,E's garden 岐阜市柳津町上佐波,3780.0,岐阜県岐阜市柳津町上佐波二丁目95-1他,名鉄竹鼻線「柳津」駅 徒歩28分 自転車約9分,5LDK,309.28,138.72,,https://sumaity.com/house_new/prop_10058911/,2026-02-01,0.0,名鉄竹鼻線,柳津,28.0
建物,【新生活応援プレゼント対象物件】Cradle garden　岐阜市河渡　第１期　全４邸,1890.0,岐阜県岐阜市河渡,JR東海道本線「穂積」駅 徒歩21分,4LDK,204.44,98.82,,https://sumaity.com/house_new/prop_10160225/,2026-02-01,0.0,JR東海道本線,穂積,21.0
建物,【新生活応援プレゼント対象物件】Cradle garden　岐阜市河渡　第１期　全４邸,2090.0,岐阜県岐阜市河渡,JR東海道本線「穂積」駅 徒歩21分,4LDK,211.55,98.82,,https://sumaity.com/house_new/prop_10160225/,2026-02-01,0.0,JR東海道本線,穂積,21.0
建物,【橋本不動産】西岐阜駅 徒歩15分～利便性と自然がバランスよく共存する街【鏡島分譲地】,3100.0,岐阜県岐阜市鏡島１６７８,JR東海道本線「西岐阜」駅 徒歩15分,4LDK,150.1,100.61,,https://sumaity.com/house_new/prop_9748338/,2026-02-01,0.0,JR東海道本線,西岐阜,15.0
建物,【橋本不動産】西岐阜駅 徒歩15分～利便性と自然がバランスよく共存する街【鏡島分譲地】,4350.0,岐阜県岐阜市鏡島１６７８,JR東海道本線「西岐阜」駅 徒歩15分,4LDK,193.94,121.48,,https://sumaity.com/house_new/prop_9748338/,2026-02-01,0.0,JR東海道本線,西岐阜,15.0
建物,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市敷島町　第２期　全２邸,3280.0,岐阜県岐阜市敷島町,JR東海道本線「西岐阜」駅 徒歩14分,4LDK,184.52,96.06,,https://sumaity.com/house_new/prop_10021807/,2026-02-01,0.0,JR東海道本線,西岐阜,14.0
建物,【新生活応援プレゼント対象物件】Livele Garden.S　岐阜市敷島町　第２期　全２邸,3480.0,岐阜県岐阜市敷島町,JR東海道本線「西岐阜」駅 徒歩14分,4LDK,216.27,111.79,,https://sumaity.com/house_new/prop_10021807/,2026-02-01,0.0,JR東海道本線,西岐阜,14.0
