種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積,建物面積,築年月,坪単価,URL,情報取得日
新築,伸びやかな街並みに穏やかな生活を。,3180万円～3480万円,岐阜県岐阜市東鶉３-67,名鉄竹鼻線「柳津」徒歩31分,4LDK,168.74m2～168.75m2,110.98m2～119.26m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78967268/,2026-02-01
新築,◆◇南向きの庭の開放感あふれる住宅◇◆,3380万円～3680万円,岐阜県岐阜市北一色５-35・36・37,ＪＲ東海道本線「岐阜」バス13分停歩7分,3LDK+S（納戸）～4LDK+S（納戸）,187.06m2～187.08m2,109.32m2～117.6m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79020970/,2026-02-01
新築,住宅相談会開催中！◆敷地面積66坪以上×庭のある住まい◆南向き◆耐震等級3,3450万円～3780万円,岐阜県岐阜市柳津町上佐波２-95-1他,名鉄竹鼻線「柳津」徒歩28分,4LDK・5LDK,219.12m2～309.28m2（66.28坪～93.55坪）,135.54m2～138.72m2（41.00坪～41.96坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78915824/,2026-02-01
新築,茜部小学校まで徒歩9分♪/岐阜バス【茜部大川】まで徒歩5分♪,3780万円,岐阜県岐阜市茜部菱野４-106番1.3,名鉄名古屋本線「笠松」徒歩29分,4LDK,178.47m2～188.09m2,115.11m2～119.25m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79022056/,2026-02-01
新築,【1/31更新】ミライエ標準装備！ZEH水準省エネ住宅！収納豊富な住まい,4080万円,岐阜県岐阜市六条東２,ＪＲ東海道本線「岐阜」徒歩19分～20分,4LDK,133.15m2（40.27坪）（登記）,100.52m2（30.40坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78687096/,2026-02-01
新築,【岩野田小】新春キャンペーン開催！【内覧会開催中】,2730万円～2780万円,岐阜県岐阜市岩崎字一町田631番1,ＪＲ東海道本線「岐阜」車7.7km,4LDK～4LDK+S（納戸）,217.88m2～250.03m2,116.36m2～119.26m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77227833/,2026-02-01
新築,【七郷小】新春キャンペーン開催！【内覧会開催中】,2830万円,岐阜県岐阜市西改田字米野95番5.6.8,樽見鉄道「北方真桑」徒歩49分,4LDK～4LDK+S（納戸）,173.89m2～225.01m2,110.15m2～119.26m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78968024/,2026-02-01
新築,【タマタウン七郷小】価格相談できます！希望を実現します！ご成約特典あり！,2980万円～3380万円,岐阜県岐阜市西改田字若宮76番1　他,岐阜市コミュニティバス「オークワ西改田店」徒歩3分,4LDK,188.45m2～188.61m2（実測）,111.79m2～116.75m2（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77897757/,2026-02-01
新築,■間接照明・高天井のお洒落な空間■4LDK収納豊富■2台並列駐車■南庭,3080万円,岐阜県岐阜市白菊町４,岐阜バス「萱場口」徒歩4分,4LDK+2S（納戸）,141.53m2（42.81坪）（実測）,107.65m2（32.56坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77428428/,2026-02-01
新築,◆◇南向きの庭の開放感あふれる3LDK＋S◇◆,3080万円～3380万円,岐阜県岐阜市正法寺町46番5・6,名鉄名古屋本線「岐南」徒歩14分,3LDK+S（納戸）～4LDK,163.53m2～178.43m2,104.35m2～109.74m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78507086/,2026-02-01
新築,2月末まで！ご来場キャンペーン中！／63坪超のゆとり×南向きの陽だまり,3170万円,岐阜県岐阜市柳津町丸野５-29番4,名鉄竹鼻線「柳津」徒歩17分,3LDK・4LDK,210.61m2・216.88m2（63.70坪・65.60坪）,118.42m2・123.39m2（35.82坪・37.32坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_70541809/,2026-02-01
新築,【ダイワハウス】60坪以上、4台駐車可能な敷地利用！,3290万円～3490万円,岐阜県岐阜市鷺山南蝉1067番1、1067番3、1068番3、1069番4他,ＪＲ東海道本線「岐阜」バス29分停歩4分,3LDK,200.34m2～200.35m2,94.4m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_75202799/,2026-02-01
新築,茜部小学校まで徒歩9分♪/岐阜バス【茜部大川】まで徒歩4分♪,3380万円～3430万円,岐阜県岐阜市茜部菱野４-106番1・5・6,名鉄名古屋本線「笠松」徒歩29分,4LDK～4LDK+S（納戸）,182.81m2～188.09m2,116.77m2～119.26m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78822375/,2026-02-01
新築,回って、つながる。家事ラク設計。,3545万円,岐阜県羽島郡笠松町無動寺263番2,名鉄名古屋本線「笠松」車3.2km,3LDK,191.1m2（57.80坪）（登記）,122.97m2（37.19坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_hashimagun/nc_76874722/,2026-02-01
新築,【即入居可】暮らすほど好きになる「ベーシック」なデザインの家,3545万円,岐阜県岐阜市南鶉７-46番12,名鉄竹鼻線「柳津」車2.3km,3LDK,176.3m2（登記）,94.4m2（登記）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79142907/,2026-02-01
新築,【最終１邸】陽当たり良好×家事ラク動線－快適な暮らしを実現！,3648万円,岐阜県各務原市那加南栄町72番10,名鉄各務原線「市民公園前」徒歩9分,4LDK,165.29m2（実測）,127.94m2,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_74934176/,2026-02-01
新築,【ダイワハウス】耐震等級３・断熱等級５・太陽光発電により光熱費削減が期待,3670万円～3870万円,岐阜県岐阜市福光東３-11番36他,ＪＲ東海道本線「岐阜」バス29分停歩4分,3LDK～4LDK,142.43m2～142.56m2,97.7m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77075091/,2026-02-01
新築,【タマタウン上土居Ⅶ】価格相談できます！希望を実現します！ご成約特典あり！,3680万円,岐阜県岐阜市上土居３-12番5,ＪＲ東海道本線「岐阜」徒歩73分,4LDK,184.43m2～208.68m2（55.78坪～63.12坪）（登記）,113.44m2～117.17m2（34.31坪～35.44坪）（登記）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78739627/,2026-02-01
新築,【ダイワハウス】西岐阜駅徒歩13分、便利な施設が揃う分譲住宅で新生活を！,3780万円,岐阜県岐阜市鏡島精華１-4番37,ＪＲ東海道本線「西岐阜」徒歩13分,3LDK,162.8m2,92.73m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_75692428/,2026-02-01
新築,【3LDK+1台ガレージのある平屋】将来も今と変わらず過ごしやすい空間,3850万円,岐阜県岐阜市須賀４-7-16,ＪＲ東海道本線「西岐阜」徒歩33分,3LDK,206.57m2（62.48坪）,108.98m2（32.96坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78257633/,2026-02-01
新築,第1期完売しました。第2期工事中（完成間近）ですが発売開始しました！,3850万円～4280万円,岐阜県岐阜市柳津町東塚３-20番,名鉄竹鼻線「西笠松」徒歩11分,3LDK～4LDK+S（納戸）,153.16m2～164m2,111.8m2～125.05m2（登記）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78677646/,2026-02-01
新築,積水ハウスのノウハウ・施工品質が詰まった分譲住宅が岐阜市江崎南に誕生！,3980万円～4730万円,岐阜県岐阜市江崎南,ＪＲ東海道本線「西岐阜」徒歩21分～21分,3LDK,199.39m2～199.42m2（60.31坪～60.32坪）,104.75m2・105.16m2（31.68坪・31.81坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78139593/,2026-02-01
新築,【ダイワハウス】駐車3台可能！耐震等級3！ZEH基準の断熱等級5！,4480万円～4580万円,岐阜県岐阜市上川手字盛坪581番6他,名鉄名古屋本線「茶所」徒歩12分,4LDK,150.03m2,105.62m2～107.31m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78789931/,2026-02-01
新築,【平屋】新那加駅徒歩6分！家具・エアコン・カップボード付の高品質仕様,4580万円,岐阜県各務原市那加新加納町字村内3819番,名鉄各務原線「新加納」徒歩6分,1LDK・4LDK,201.68m2・208.88m2,87.37m2・95.24m2,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_76014046/,2026-02-01
新築,【パナホーム愛岐】＼GX志向型住宅　対象物件／2025年６月完成,4860万円,岐阜県各務原市鵜沼南町２-85-10,名鉄犬山線「新鵜沼」徒歩5分,3LDKWIC、SICなど,188.85m2（登記）,83.86m2（登記）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_77180359/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,1790万円・1990万円,岐阜県羽島市上中町長間,名鉄竹鼻線「江吉良」徒歩22分,4LDK・4LDK+S（納戸）,180.99m2～222.15m2（54.74坪～67.20坪）,105.3m2～107.29m2（31.85坪～32.45坪）,,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78673717/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,1890万円～2090万円,岐阜県岐阜市河渡２,ＪＲ東海道本線「穂積」徒歩24分,4LDK,204.44m2～211.55m2,105.3m2・108.54m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79044920/,2026-02-01
新築,◆成約特典：ＪＣＢ商品券6.2万円＆ヤマダ電機特別割引券◆簡単予約可能◆,1890万円,岐阜県羽島市竹鼻町3208-14,名鉄竹鼻線「羽島市役所前」徒歩8分,4LDK+S（納戸）,128.51m2（38.87坪）,98.81m2（29.88坪）,,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78983176/,2026-02-01
新築,【現地販売会社のヤマダ不動産　リライフ】　成約特典：ＪＣＢ商品券6.2万円,1890万円～2090万円,岐阜県岐阜市河渡２,ＪＲ東海道本線「穂積」徒歩21分,4LDK,204.44m2～211.55m2（61.84坪～63.99坪）,98.82m2（29.89坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78933395/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,1890万円～2090万円,岐阜県岐阜市河渡２,ＪＲ東海道本線「穂積」徒歩21分,4LDK,204.44m2～211.55m2（61.84坪～63.99坪）,98.82m2（29.89坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_20076688/,2026-02-01
新築,【即日ご案内可能×月々4万円台～】■駐車3台可能■全居室収納付き,1990万円,岐阜県瑞穂市生津天王東町１,ＪＲ東海道本線「穂積」徒歩23分,4LDK+S（納戸）,192.79m2（58.31坪）,100.44m2（30.38坪）,,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_77184629/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,1990万円,岐阜県瑞穂市生津天王東町１,ＪＲ東海道本線「穂積」徒歩22分,4LDK+S（納戸）,192.79m2（58.31坪）,110.16m2（33.32坪）,,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_77286766/,2026-02-01
新築,1月見学会開催エアコンサービス付き予約見学３千円,1990万円・2090万円,岐阜県羽島市福寿町本郷1010-1,東海道新幹線「岐阜羽島」徒歩16分,4LDK+S（納戸）・4LDK+2S（納戸）,172.27m2・180.73m2,98.01m2・99.22m2,,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78939683/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2190万円～2390万円,岐阜県岐阜市六条大溝４,ＪＲ東海道本線「西岐阜」徒歩33分,4LDK・4LDK+S（納戸）,147.85m2～166.61m2（44.72坪～50.39坪）,102.06m2～106.51m2（30.87坪～32.21坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79164164/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2190万円,岐阜県岐阜市栄新町３,ＪＲ東海道本線「岐阜」バス16分停歩6分,4LDK+S（納戸）,131.84m2（39.88坪）,106.1m2（32.09坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79172482/,2026-02-01
新築,【現地販売会社のヤマダ不動産　リライフ】　成約特典：ＪＣＢ商品券7.1万円,2190万円・2390万円,岐阜県岐阜市六条大溝４-8-12他,ＪＲ東海道本線「西岐阜」徒歩29分,4LDK・4LDK+S（納戸）,147.85m2・166.61m2（44.72坪・50.39坪）（登記）,96.78m2・97.2m2（29.27坪・29.40坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79136179/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2280万円・2380万円,岐阜県各務原市川島松倉町,ＪＲ高山本線「那加」車6.8km,4LDK,193.15m2・225.89m2（58.42坪・68.33坪）,95.65m2・107.24m2（28.93坪・32.43坪）,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78485445/,2026-02-01
