種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩
建物,伸びやかな街並みに穏やかな生活を。,3180.0,岐阜県岐阜市東鶉３-67,名鉄竹鼻線「柳津」徒歩31分,4LDK,168.74,110.98,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78967268/,2026-02-01,0.0,名鉄竹鼻線,柳津,31.0
建物,伸びやかな街並みに穏やかな生活を。,3480.0,岐阜県岐阜市東鶉３-67,名鉄竹鼻線「柳津」徒歩31分,4LDK,168.75,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78967268/,2026-02-01,0.0,名鉄竹鼻線,柳津,31.0
建物,◆◇南向きの庭の開放感あふれる住宅◇◆,3380.0,岐阜県岐阜市北一色５-35・36・37,ＪＲ東海道本線「岐阜」バス13分停歩7分,3LDK+S,187.06,109.32,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79020970/,2026-02-01,0.0,ＪＲ東海道本線,岐阜,
建物,◆◇南向きの庭の開放感あふれる住宅◇◆,3680.0,岐阜県岐阜市北一色５-35・36・37,ＪＲ東海道本線「岐阜」バス13分停歩7分,4LDK+S,187.08,117.6,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79020970/,2026-02-01,0.0,ＪＲ東海道本線,岐阜,
建物,住宅相談会開催中！◆敷地面積66坪以上×庭のある住まい◆南向き◆耐震等級3,3450.0,岐阜県岐阜市柳津町上佐波２-95-1他,名鉄竹鼻線「柳津」徒歩28分,4LDK,219.12,135.54,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78915824/,2026-02-01,0.0,名鉄竹鼻線,柳津,28.0
建物,住宅相談会開催中！◆敷地面積66坪以上×庭のある住まい◆南向き◆耐震等級3,3780.0,岐阜県岐阜市柳津町上佐波２-95-1他,名鉄竹鼻線「柳津」徒歩28分,5LDK,219.12,135.54,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78915824/,2026-02-01,0.0,名鉄竹鼻線,柳津,28.0
建物,茜部小学校まで徒歩9分♪/岐阜バス【茜部大川】まで徒歩5分♪,3780.0,岐阜県岐阜市茜部菱野４-106番1.3,名鉄名古屋本線「笠松」徒歩29分,4LDK,178.47,115.11,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79022056/,2026-02-01,0.0,名鉄名古屋本線,笠松,29.0
建物,茜部小学校まで徒歩9分♪/岐阜バス【茜部大川】まで徒歩5分♪,3780.0,岐阜県岐阜市茜部菱野４-106番1.3,名鉄名古屋本線「笠松」徒歩29分,4LDK,188.09,119.25,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79022056/,2026-02-01,0.0,名鉄名古屋本線,笠松,29.0
建物,【1/31更新】ミライエ標準装備！ZEH水準省エネ住宅！収納豊富な住まい,4080.0,岐阜県岐阜市六条東２,ＪＲ東海道本線「岐阜」徒歩19分～20分,4LDK,133.15,100.52,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78687096/,2026-02-01,0.0,ＪＲ東海道本線,岐阜,19.0
建物,【岩野田小】新春キャンペーン開催！【内覧会開催中】,2730.0,岐阜県岐阜市岩崎字一町田631番1,ＪＲ東海道本線「岐阜」車7.7km,4LDK,217.88,116.36,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77227833/,2026-02-01,0.0,ＪＲ東海道本線,岐阜,
建物,【岩野田小】新春キャンペーン開催！【内覧会開催中】,2780.0,岐阜県岐阜市岩崎字一町田631番1,ＪＲ東海道本線「岐阜」車7.7km,4LDK+S,250.03,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77227833/,2026-02-01,0.0,ＪＲ東海道本線,岐阜,
建物,【七郷小】新春キャンペーン開催！【内覧会開催中】,2830.0,岐阜県岐阜市西改田字米野95番5.6.8,樽見鉄道「北方真桑」徒歩49分,4LDK,173.89,110.15,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78968024/,2026-02-01,0.0,樽見鉄道,北方真桑,49.0
建物,【七郷小】新春キャンペーン開催！【内覧会開催中】,2830.0,岐阜県岐阜市西改田字米野95番5.6.8,樽見鉄道「北方真桑」徒歩49分,4LDK+S,225.01,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78968024/,2026-02-01,0.0,樽見鉄道,北方真桑,49.0
建物,【タマタウン七郷小】価格相談できます！希望を実現します！ご成約特典あり！,2980.0,岐阜県岐阜市西改田字若宮76番1　他,岐阜市コミュニティバス「オークワ西改田店」徒歩3分,4LDK,188.45,111.79,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77897757/,2026-02-01,0.0,岐阜市コミュニティバス,オークワ西改田店,3.0
建物,【タマタウン七郷小】価格相談できます！希望を実現します！ご成約特典あり！,3380.0,岐阜県岐阜市西改田字若宮76番1　他,岐阜市コミュニティバス「オークワ西改田店」徒歩3分,4LDK,188.61,116.75,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77897757/,2026-02-01,0.0,岐阜市コミュニティバス,オークワ西改田店,3.0
建物,■間接照明・高天井のお洒落な空間■4LDK収納豊富■2台並列駐車■南庭,3080.0,岐阜県岐阜市白菊町４,岐阜バス「萱場口」徒歩4分,4LDK+2S,141.53,107.65,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77428428/,2026-02-01,0.0,岐阜バス,萱場口,4.0
建物,◆◇南向きの庭の開放感あふれる3LDK＋S◇◆,3080.0,岐阜県岐阜市正法寺町46番5・6,名鉄名古屋本線「岐南」徒歩14分,3LDK+S,163.53,104.35,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78507086/,2026-02-01,0.0,名鉄名古屋本線,岐南,14.0
